Variable,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,BTC-USD,GLD,^SP100,BTC-USD,GLD,^SP100,BTC-USD,GLD,^SP100,BTC-USD,GLD,^SP100,BTC-USD,GLD,^SP100,BTC-USD,GLD,^SP100
Date,,,,,,,,,,,,,,,,,,
1982-08-02,,,54.95000076293945,,,54.95000076293945,,,54.95000076293945,,,54.95000076293945,,,54.95000076293945,,,106920000.0
1982-08-03,,,54.58000183105469,,,54.58000183105469,,,54.58000183105469,,,54.58000183105469,,,54.58000183105469,,,120960000.0
1982-08-04,,,53.560001373291016,,,53.560001373291016,,,53.560001373291016,,,53.560001373291016,,,53.560001373291016,,,106880000.0
1982-08-05,,,53.029998779296875,,,53.029998779296875,,,53.029998779296875,,,53.029998779296875,,,53.029998779296875,,,109400000.0
1982-08-06,,,52.27000045776367,,,52.27000045776367,,,52.27000045776367,,,52.27000045776367,,,52.27000045776367,,,97320000.0
1982-08-09,,,52.09000015258789,,,52.09000015258789,,,52.09000015258789,,,52.09000015258789,,,52.09000015258789,,,109120000.0
1982-08-10,,,51.900001525878906,,,51.900001525878906,,,51.900001525878906,,,51.900001525878906,,,51.900001525878906,,,105360000.0
1982-08-11,,,51.7400016784668,,,51.7400016784668,,,51.7400016784668,,,51.7400016784668,,,51.7400016784668,,,98080000.0
1982-08-12,,,51.65999984741211,,,51.65999984741211,,,51.65999984741211,,,51.65999984741211,,,51.65999984741211,,,100160000.0
1982-08-13,,,52.459999084472656,,,52.459999084472656,,,52.459999084472656,,,52.459999084472656,,,52.459999084472656,,,89440000.0
1982-08-16,,,52.34000015258789,,,52.34000015258789,,,52.34000015258789,,,52.34000015258789,,,52.34000015258789,,,110840000.0
1982-08-17,,,55.290000915527344,,,55.290000915527344,,,55.290000915527344,,,55.290000915527344,,,55.290000915527344,,,185720000.0
1982-08-18,,,56.13999938964844,,,56.13999938964844,,,56.13999938964844,,,56.13999938964844,,,56.13999938964844,,,265380000.0
1982-08-19,,,55.15999984741211,,,55.15999984741211,,,55.15999984741211,,,55.15999984741211,,,55.15999984741211,,,156540000.0
1982-08-20,,,57.22999954223633,,,57.22999954223633,,,57.22999954223633,,,57.22999954223633,,,57.22999954223633,,,191780000.0
1982-08-23,,,59.029998779296875,,,59.029998779296875,,,59.029998779296875,,,59.029998779296875,,,59.029998779296875,,,220620000.0
1982-08-24,,,58.7400016784668,,,58.7400016784668,,,58.7400016784668,,,58.7400016784668,,,58.7400016784668,,,243300000.0
1982-08-25,,,59.34000015258789,,,59.34000015258789,,,59.34000015258789,,,59.34000015258789,,,59.34000015258789,,,212400000.0
1982-08-26,,,59.599998474121094,,,59.599998474121094,,,59.599998474121094,,,59.599998474121094,,,59.599998474121094,,,274660000.0
1982-08-27,,,58.86000061035156,,,58.86000061035156,,,58.86000061035156,,,58.86000061035156,,,58.86000061035156,,,148820000.0
1982-08-30,,,59.380001068115234,,,59.380001068115234,,,59.380001068115234,,,59.380001068115234,,,59.380001068115234,,,119120000.0
1982-08-31,,,60.43000030517578,,,60.43000030517578,,,60.43000030517578,,,60.43000030517578,,,60.43000030517578,,,172720000.0
1982-09-01,,,59.540000915527344,,,59.540000915527344,,,59.540000915527344,,,59.540000915527344,,,59.540000915527344,,,165660000.0
1982-09-02,,,60.70000076293945,,,60.70000076293945,,,60.70000076293945,,,60.70000076293945,,,60.70000076293945,,,149480000.0
1982-09-03,,,61.95000076293945,,,61.95000076293945,,,61.95000076293945,,,61.95000076293945,,,61.95000076293945,,,261820000.0
1982-09-07,,,61.279998779296875,,,61.279998779296875,,,61.279998779296875,,,61.279998779296875,,,61.279998779296875,,,137920000.0
